Gastos  - Brotherscan Seeds,,,,,,,,
,,,,,,,,
Fecha,Concepto,Monto,Medio Pago,Estado de pago,,,,
2025,,,,,,,,
Enero,," $380,945.00",,,,,,Envíos/viajes
03/01,Alquiler," $100,000.00",,,Alquiler,,,Servicios
03/01,Internet," $11,000.00",,,Servicios,,,Insumos Indoor
20/01,Edesur," $213,745.00",,,Servicios,,,Publicidad y cursos
23/12,Metrogas ," $3,200.00",,,Servicios,,,Inversión inicial
03/01,Pava eléctrica ," $30,000.00",,,Insumos varios,,,Insumos varios
03/01,Suplemento ducha," $17,000.00",,,Insumos varios,,,Alquiler
18/01,Aromatizante x 2," $6,000.00",,,Insumos varios,,,Gastos estructurales
Febrero,," $836,328.00",,,,,,
03/02,Alquiler," $100,000.00",,,Alquiler,,,Bonos
03/02,Internet," $11,000.00",,,Servicios,,,Otros Gastos
14/02,Edesur," $284,270.00",,,Servicios,,,Hormi 2.0
27/01,Metrogas ," $3,458.00",,,Servicios,,,
08/02,Pilas x 6 AA," $5,700.00",,,Insumos varios,,,
08/02,Almuerzo," $10,000.00",,,Insumos varios,,,
08/02,Cinta de Papel," $11,400.00",,,Insumos varios,,,
10/02,Aire Acondicionado cuota 1/6," $318,500.00",,,Insumos Indoor,,,
12/02,Gastos instalación eléctrica ," $45,000.00",,,Gastos estructurales,,,
19/02,Birra," $14,000.00",,,Insumos varios,,,
19/02,Sanguche miga," $16,000.00",,,Insumos varios,,,
26/02,Alcohol de cereal," $17,000.00",,,Insumos varios,,,
Marzo,," $1,210,604.00",,,,,,
01/03,Alquiler," $100,000.00",,,Alquiler,,,
17/03,Edesur," $289,275.00",,,Servicios,,,
28/02,Metrogas ," $3,329.00",,,Servicios,,,
07/03,Aromatizante ," $3,000.00",,,Insumos varios,,,
12/03,Propina técnico Telecentro," $5,000.00",,,Insumos varios,,,
21/03,Santa Planta," $800,000.00",,,Insumos Indoor,,,
25/03,Panaderia ," $10,000.00",,,Insumos varios,,,
Abril,," $1,248,114.00",,,,,,
10/04,Alquiler," $200,000.00",,,Alquiler,,,
24/04,Edesur," $357,370.00",,,Servicios,,,
01/04,Metrogas ," $3,402.00",,,Servicios,,,
03/04,Aire Acondicionado cuota 2/6," $318,500.00",,,Insumos Indoor,,,
02/04,Internet," $9,642.00",,,Servicios,,,
10/04,Gastos Cosecha.," $63,000.00",,"Comida, agua",Insumos varios,,,
10/04,Gastos Cosecha," $45,000.00",,Fernet y coca,Insumos varios,,,
11/04,Gastos Cosecha.," $70,000.00",,Burgers y borra cena post cosecha,Insumos varios,,,
15/04,Bolsas ziploc y madera," $15,000.00",,,Insumos varios,,,
16/04,"Demonio verde, materiales para rosin"," $23,000.00",,,Insumos varios,,,
22/04,Bandeja Fan of Hash," $104,000.00",,,Insumos varios,,,
23/04,Panadería cosecha," $30,000.00",,,Insumos varios,,,
28/04,Almacen," $9,200.00",,,Insumos varios,,,
Mayo,," $1,163,423.00",,,,,,
30/04,Metrogas," $3,428.00",,,Servicios,,,
02/05,Alquiler," $200,000.00",,,Alquiler,,,
04/05,Camara Hormi," $70,000.00",,,Insumos varios,,,
08/05,Internet," $15,000.00",,,Servicios,,,
08/05,Aire Acondicionado cuota 3/6," $318,500.00",,,Insumos Indoor,,,
09/05,Precintos plasticos ID geneticas x 800 un," $40,000.00",,,Insumos Indoor,,,
09/05,Caudalimetro," $82,000.00",,,Insumos Indoor,,,
12/05,Pilas," $3,800.00",,,Insumos varios,,,
13/05,Tarjeta micro sd," $17,000.00",,,Insumos varios,,,
15/05,Alcohol 2 botellas 1 L," $7,000.00",,,Insumos varios,,,
15/05,Repuestos maquina hacer esquejes," $28,700.00",,,Insumos Indoor,,,
16/05,Edesur," $362,995.00",,,Servicios,,,
28/05,Sanguches," $15,000.00",,,Insumos varios,,,
Junio,," $1,138,166.00",,,,,,
30/05,Metrogas," $3,600.00",,,Servicios,,,
04/06,Alquiler," $200,000.00",,,Alquiler,,,
06/06,Aire Acondicionado cuota 4/6," $318,500.00",,,Insumos Indoor,,,
09/06,Internet," $16,476.00",,,Servicios,,,
13/06,Arreglo led," $87,000.00",,76 arreglo + 10 flete,Insumos Indoor,,,
13/06,Panaderia," $10,500.00",,,Insumos varios,,,
17/06,Proyecto Identidad de marca 50%," $130,000.00",,Faltan 125 k,Publicidad y cursos,,,
20/06,Lavandina," $2,400.00",,,Insumos varios,,,
21/06,Panaderia," $8,400.00",,,Insumos varios,,,
23/06,Edesur," $261,290.00",,,Servicios,,,
23/06,Led Mati Correa," $100,000.00",,,Insumos Indoor,,,
Julio,," $1,989,322.75",,,,,,
30/06,Metrogas," $3,640.00",,,Servicios,,,
06/07,Alquiler," $200,000.00",,,Alquiler,,,
07/07,Aire Acondicionado cuota 5/6," $318,500.00",,,Insumos Indoor,,,
03/07,Internet," $17,284.00",,,Servicios,,,
01/07,Macetas," $9,800.00",,,Insumos Indoor,,,
16/07,Edesur," $282,650.00",,,Servicios,,,
10/07,Bomba repuesto maquina hacer esquejes," $18,724.00",,,Insumos Indoor,,,
11/07,Picada cosecha," $38,000.00",,,Insumos varios,,,
11/07,Gas Butano + chipas + guantes," $22,200.00",,,Insumos varios,,,
12/07,Namaste Shanti 500ml x 2," $37,486.00",,,Insumos Indoor,,,
12/07,Raw king size x 4," $8,576.00",,,Insumos Indoor,,,
12/07,Turba plus Carluccio 70L x 20," $346,560.00",,,Insumos Indoor,,,
12/07,Maceta soplada x 20," $3,876.00",,,Insumos Indoor,,,
12/07,Maceta soplada 10L x 15," $9,906.75",,,Insumos Indoor,,,
12/07,Maceta soplada 3L x 20," $3,876.00",,,Insumos Indoor,,,
13/07,Protector Tension," $95,000.00",,,Insumos Indoor,,,
13/07,Carbon activado granulado x 6kg," $33,000.00",,,Insumos Indoor,,,
13/07,Sanguchitos miga," $50,000.00",,Cosecha,Insumos varios,,,
19/07,Facturas," $8,000.00",,,Insumos varios,,,
19/07,Mantenimiento Aire," $300,000.00",,,Gastos estructurales,,,
26/07,prepizzas la coral," $33,000.00",,cosecha carpa,Insumos varios,,,
31/07,4 esquejes choco og," $78,000.00",,para llenar carpa (pago nacho),Insumos Indoor,,,
,Esquineros estructura flora x8," $37,000.00",,pago chechi (con plata del hormi),Gastos estructurales,,,
,Estaca (x50u) + conectores (x25u)," $34,244.00",,pago nacho,Insumos Indoor,,,
Agosto,," $2,345,245.00",,,,,,
15/07,Alquiler," $200,000.00",,,Alquiler,,,
27/07,Metrogas," $3,900.00",,,Servicios,,,
06/08,Aire Acondicionado cuota 6/6," $318,500.00",,,Gastos estructurales,,,
06/08,"articulos de limpieza (trapos, cepillo, rollos, detergente)"," $20,900.00",,pago checho (plata hormi),Insumos varios,,,
06/08,Internet," $18,000.00",,,Servicios,,,
20/08,Edesur," $364,545.00",,,Servicios,,,
06/08,Panaderia," $10,200.00",,pago nacho,Insumos Indoor,,,
18/08,2 fernes porque habia sed," $22,000.00",,pago checho plata hormi,Insumos varios,,,
18/08,"bolsas papel, fibras, ziploc"," $23,000.00",,pago checho plata hormi,Insumos varios,,,
24/08,Leds Quantum Outlet Growtech x 3," $1,320,200.00",,,Insumos Indoor,,,
22/08,Cena Hormi," $44,000.00",,,Insumos varios,,,
,,,,,,,,
Septiembre,," $855,687.00",,,,,,
05/09,Alquiler," $200,000.00",,,Alquiler,,,
29/08,Metrogas," $3,900.00",,,Servicios,,,
03/09,Internet," $18,000.00",,,Servicios,,,
05/09,Proyecto Identidad de marca 50%," $130,000.00",,,Publicidad y cursos,,,
05/09,Aromatizante ," $10,000.00",,,Insumos varios,,,
10/09,Killerbac Green co," $31,000.00",,,Insumos Indoor,,,
11/09,Aromatizante equipo," $14,000.00",,,Insumos varios,,,
11/09,Picada," $17,000.00",,,Insumos varios,,,
11/09,Balanza," $15,000.00",,,Insumos varios,,,
15/09,Edesur," $255,887.00",,,Servicios,,,
17/09,Solucion de almacenamiento ," $37,000.00",,,Insumos Indoor,,,
17/09,Solucion de calibración Ec," $14,300.00",,,Insumos Indoor,,,
19/09,Facturas," $9,600.00",,,Insumos varios,,,
22/09,Flete arreglo Led," $15,000.00",,,Envios/viajes,,,
22/09,Arreglo Led," $85,000.00",,,Insumos Indoor,,,
Octubre,," $1,554,693.00",,,,,,
05/10,Alquiler," $200,000.00",,,Alquiler,,,
30/09,Metrogas," $3,900.00",,,Servicios,,,
15/10,Internet," $18,000.00",,,Servicios,,,
17/10,Edesur," $262,400.00",,,Servicios,,,
03/10,Regalo Checho," $53,000.00",,,Insumos varios,,,
07/10,Filtros Canuto," $65,000.00",,60 filtros + 5 envio,Publicidad y cursos,,,
11/10,Pilas," $3,000.00",,,Insumos varios,,,
17/10,Esquejes Tropicana x 30," $371,783.00",,$ 12164 c/u,Insumos Indoor,,,
17/10,Turba Plus 70L Carluccio x 5," $102,606.00",,$ 20521 c/u,Insumos Indoor,,,
17/10,Clonadora roots house bandeja," $89,646.00",,,Insumos Indoor,,,
17/10,Paquete Raw black regular," $30,303.00",,,Insumos Indoor,,,
17/10,Feeding Pk Booster 1Kg," $131,168.00",,,Insumos Indoor,,,
17/10,Feeding Short Flowering 1Kg," $80,887.00",,,Insumos Indoor,,,
25/10,Sanguches miga cosecha," $30,000.00",,,Insumos varios,,,
25/10,Almacen," $18,000.00",,,Insumos varios,,,
27/10,Frascos 200cc x 100 un," $95,000.00",,,Insumos varios,,,
Noviembre,," $958,970.00",,,,,,
27/10,Alquiler," $200,000.00",,,Alquiler,,,
31/10,Metrogas," $4,070.00",,,Servicios,,,
07/11,Picadita," $27,000.00",,,Insumos varios,,,
07/11,Picadita," $30,000.00",,,Insumos varios,,,
08/11,Internet," $18,000.00",,,Servicios,,,
17/11,Edesur," $381,900.00",,,Servicios,,,
16/11,Panaderia," $10,000.00",,,Insumos varios,,,
19/11,Etiquetas/calcos," $62,000.00",,,Publicidad y cursos,,,
21/11,Balanzas x 2," $25,000.00",,,Insumos varios,,,
25/11,Frascos 200cc x 100 un," $105,000.00",,,Insumos varios,,,
26/11,Ventilacion coolers carpa x 4," $36,000.00",,,Insumos Indoor,,,
28/11,Charla Asesoría Legal - Juan Palomino," $60,000.00",,,Servicios,,,
Diciembre,," $2,112,956.00",,,,,,
05/12,Alquiler," $200,000.00",,,Alquiler,,,
